"","descriptors"
"1262","Saltmarsh"
"1263","San"
"1264","Sand"
"1265","Sandhill"
"1266","Sandpiper"
"1267","Sandwich"
"1268","Sapphire-spangled"
"1269","Sapphire-throated"
"1270","Sapphire-vented"
"1271","Sardinian"
"1272","Sarus"
"1273","Satin"
"1274","Saunders's"
"1275","Savanna"
"1276","Savannah"
"1277","Savi's"
"1278","Saw-billed"
"1279","Saw-whet"
"1280","Say's"
"1281","Sayaca"
"1282","Scale-crested"
"1283","Scale-feathered"
"1284","Scale-throated"
"1285","Scaled"
"1286","Scaly-breasted"
"1287","Scaly-headed"
"1288","Scaly-naped"
"1289","Scaly-throated"
"1290","Scarlet"
"1291","Scarlet-backed"
"1292","Scarlet-bellied"
"1293","Scarlet-chested"
"1294","Scarlet-crowned"
"1295","Scarlet-fronted"
"1296","Scarlet-headed"
"1297","Scarlet-rumped"
"1298","Scarlet-thighed"
"1299","Schalow's"
"1300","Schwartz's"
"1301","Scimitar"
"1302","Scimitar-billed"
"1303","Scissor-tailed"
"1304","Sclater's"
"1305","Scops"
"1306","Scott's"
"1307","Scottish"
"1308","Screaming"
"1309","Screech"
"1310","Scrub"
"1311","Sea"
"1312","Seaside"
"1313","Sedge"
"1314","Seed"
"1315","Semicollared"
"1316","Semipalmated"
"1317","Semiplumbeous"
"1318","Senegal"
"1319","Sepia-capped"
"1320","Serpent"
"1321","Sharp-billed"
