Species,CommonNameBL,sumDiffPC1,sumDiffPC2,FemalePC1sum,MalePC1sum,FemalePC2sum,MalePC2sum,Species
Calidris_melanotos,Pectoral Sandpiper,2.682477,0.599441,6.7362,9.4187,-0.902189576,-0.30274846,Calidris_melanotos
Calidris_minuta,Little Stint,2.477545,-0.748936,2.7247,5.2023,0.744396681,-0.004539761,Calidris_minuta
Calidris_minutilla,Least Sandpiper,0.56064,0.275804,11.8279,12.3885,1.191571073,1.467374911,Calidris_minutilla
Calidris_ptilocnemis,Rock Sandpiper,2.639272,-0.56524,5.7752,8.4145,-0.503477295,-1.068716946,Calidris_ptilocnemis
Calidris_pusilla,Semipalmated Sandpiper,4.223051,-0.967859,18.6427,22.8657,1.082547116,0.114688017,Calidris_pusilla
Calidris_ruficollis,Red-necked Stint,5.114304,-1.104318,2.3208,7.4351,-1.04538586,-2.149703842,Calidris_ruficollis
Calidris_temminckii,Temminck's Stint,-0.412179,0.792392,2.3453,1.9331,-0.036408385,0.755984006,Calidris_temminckii
Callipepla_californica,California Quail,-3.815976,-0.174563,-2.3527,-6.1686,0.49527272,0.320709446,Callipepla_californica
Callipepla_gambelii,Gambel's Quail,-14.018461,2.986689,5.2774,-8.741,-1.321984928,1.664704416,Callipepla_gambelii
Callipepla_squamata,Scaled Quail,-5.133172,0.858411,12.7705,7.6373,-1.603289513,-0.744878903,Callipepla_squamata
Callocephalon_fimbriatum,Gang-gang Cockatoo,2.272455,-0.752536,-5.2643,-2.9918,4.111484612,3.358948603,Callocephalon_fimbriatum
Calypte_anna,Anna's Hummingbird,-0.015377,-3.441964,-7.7334,-7.7488,-1.334168696,-4.776132239,Calypte_anna
Calyptorhynchus_banksii,Red-tailed Black-cockatoo,-5.123475,1.266542,-10.5538,-15.6773,-0.007697963,1.258844372,Calyptorhynchus_banksii
Capito_niger,Black-spotted Barbet,-5.405047,0.988903,-3.8363,-9.2413,-6.552314726,-5.563412044,Capito_niger
Cardinalis_cardinalis,Northern Cardinal,0.497385,-0.669636,-0.8219,-0.3245,-2.130486083,-2.800121698,Cardinalis_cardinalis
Cardinalis_sinuatus,Pyrrhuloxia,-3.701737,0.770535,2.5798,-1.1219,-3.723300836,-2.952765551,Cardinalis_sinuatus
Carduelis_cannabina,Eurasian Linnet,-2.492571,0.3135,-0.2325,-2.725,-4.034452879,-3.720953176,Carduelis_cannabina
Carduelis_carduelis,European Goldfinch,-0.707861,-0.919615,4.9535,4.2457,-1.515956622,-2.43557198,Carduelis_carduelis
Carduelis_chloris,European Greenfinch,-0.42522,-4.049513,-0.9089,-1.3341,-2.966529529,-7.016043034,Carduelis_chloris
Carduelis_flammea,Common Redpoll,-0.087461,-2.726281,-4.4529,-4.5404,-0.203630597,-2.929911293,Carduelis_flammea
Carduelis_hornemanni,Hoary Redpoll,1.52363,-1.341477,0.5931,2.1167,-1.144627885,-2.486105295,Carduelis_hornemanni
Carduelis_pinus,Pine Siskin,-3.764567,0.228561,-1.3142,-5.0787,-0.7987655,-0.570204265,Carduelis_pinus
Carduelis_psaltria,Lesser Goldfinch,-2.854648,-0.640865,-3.1103,-5.965,-5.016798395,-5.657663768,Carduelis_psaltria
Carduelis_tristis,American Goldfinch,8.1298,-9.310949,-3.2362,4.8936,-0.582187395,-9.893136739,Carduelis_tristis
Carpodacus_cassinii,Cassin's Finch,4.816145,-1.676889,0.5259,5.3421,-2.147300413,-3.824189905,Carpodacus_cassinii
Carpodacus_erythrinus,Common Rosefinch,-2.450886,-1.166823,-1.9515,-4.4024,-2.132814919,-3.299637759,Carpodacus_erythrinus
Carpodacus_mexicanus,House Finch,-5.516048,-0.550672,-2.5344,-8.0504,-1.225872803,-1.776544464,Carpodacus_mexicanus
Carpodacus_purpureus,Purple Finch,-1.415115,-2.396829,1.3858,-0.0294,-1.169450235,-3.566279077,Carpodacus_purpureus
Casmerodius_albus,Great Egret,-5.523388,2.565675,79.0985,73.5751,4.631917659,7.197592899,Casmerodius_albus
Catharus_aurantiirostris,Orange-billed Nightingale-thrush,-3.766392,0.452778,0.7386,-3.0278,1.068600364,1.521378023,Catharus_aurantiirostris
Catharus_fuscescens,Veery,-0.623932,0.541829,-0.7835,-1.4075,-1.754066272,-1.212237247,Catharus_fuscescens
Catharus_gracilirostris,Black-billed Nightingale-thrush,-0.698991,0.394644,-8.8188,-9.5178,0.640888882,1.03553316,Catharus_gracilirostris
Catharus_guttatus,Hermit Thrush,0.361576,-0.767594,-2.1829,-1.8214,-2.056221772,-2.823815378,Catharus_guttatus
Catharus_minimus,Grey-cheeked Thrush,-2.092877,-0.083773,6.6635,4.5706,-0.104658764,-0.188432024,Catharus_minimus
Catharus_occidentalis,Russet Nightingale-thrush,0.433065,-0.135024,-1.9479,-1.5149,-1.33108921,-1.466112863,Catharus_occidentalis
Catharus_ustulatus,Swainson's Thrush,-0.196478,-0.363804,2.4886,2.2921,-0.152128589,-0.515932597,Catharus_ustulatus
Centropus_phasianinus,Pheasant Coucal,-3.322718,0.546982,-12.2848,-15.6075,0.354140339,0.901122303,Centropus_phasianinus
Cepphus_columba,Pigeon Guillemot,3.958365,0.075741,-7.0195,-3.0611,1.132779662,1.208520194,Cepphus_columba
Cepphus_grylle,Black Guillemot,1.902406,0.467952,-1.9505,-0.0481,1.323204881,1.791156875,Cepphus_grylle
Cercomacra_tyrannina,Dusky Antbird,-3.880305,6.946364,-10.3255,-14.2058,-4.819715467,2.126648897,Cercomacra_tyrannina
Certhionyx_variegatus,Pied Honeyeater,5.586573,5.400879,3.0619,8.6484,-0.765658538,4.635220501,Certhionyx_variegatus
Ceryle_rudis,Pied Kingfisher,-14.872874,-3.344312,32.412,17.5392,5.334143596,1.989831771,Ceryle_rudis
Charadrius_bicinctus,Double-banded Plover,1.728355,0.539976,0.6751,2.4035,-1.748473425,-1.208497809,Charadrius_bicinctus
Charadrius_dubius,Little Ringed Plover,4.12147,0.255519,12.855,16.9764,-1.084122417,-0.828603259,Charadrius_dubius
Charadrius_hiaticula,Common Ringed Plover,-3.612655,-0.018995,11.43,7.8173,-1.069792413,-1.088787123,Charadrius_hiaticula
Charadrius_marginatus,White-fronted Plover,0.844792,-0.752259,14.6044,15.4492,-0.282343718,-1.03460282,Charadrius_marginatus
Charadrius_ruficapillus,Red-capped Plover,2.78021,-0.199736,23.0045,25.7847,1.092917845,0.893182174,Charadrius_ruficapillus
Charadrius_semipalmatus,Semipalmated Plover,7.422743,0.928648,12.1614,19.5841,0.294441295,1.223089563,Charadrius_semipalmatus
Charadrius_tricollaris,Three-banded Plover,-0.935753,0.375522,9.5776,8.6418,0.889712151,1.265234169,Charadrius_tricollaris
