scinam,genus_species,genus,species,peak_frequency,perc_forest_cover,n_ind,family,body_mass,body_mass_M,body_mass_F,SSD_bm,male_wing_avg,female_wing_avg,SSD,habitat_type
amblyramphus,Amblyramphus_holosericeus,Amblyramphus,holosericeus,3014.65,46.20833333,2,icteridae,57.35,62.5,52.2,0.078209514,113.9,109.9,0.015526032,0
ammodramus,Ammodramus_aurifrons,Ammodramus,aurifrons,8441,60.5,5,emberizidae,17.8,,,,,,,0
ammodramus,Ammodramus_bairdii,Ammodramus,bairdii,5168,0,5,emberizidae,18.06666667,18.9,17.8,0.026041802,71.6,68.3,0.020492319,0
ammodramus,Ammodramus_caudacutus,Ammodramus,caudacutus,3789.8,19.375,3,emberizidae,19.25,20.7,17.8,0.065550343,59.1,56,0.023399454,0
ammodramus,Ammodramus_henslowii,Ammodramus,henslowii,4823.4,53.125,5,emberizidae,12.8,,,,52.65,51.45,0.010012996,0
ammodramus,Ammodramus_humeralis,Ammodramus,humeralis,4220.5,11.92361111,4,emberizidae,16,16.5,15.5,0.027152246,,,,0
ammodramus,Ammodramus_leconteii,Ammodramus,leconteii,7407.4,2.285714286,5,emberizidae,,,,,51.75,50.55,0.010189194,0
ammodramus,Ammodramus_maritimus,Ammodramus,maritimus,3617.6,10.55555556,5,emberizidae,22.225,23.45,21,0.047923552,59.63,56.3,0.024956414,0
ammodramus,Ammodramus_nelsoni,Ammodramus,nelsoni,4306.6,3.857142857,5,emberizidae,15.16666667,14.8,13.9,0.027246915,,,,0
ammodramus,Ammodramus_savannarum,Ammodramus,savannarum,7752,14.875,5,emberizidae,17.625,17.2,18.4,-0.029289376,61.51,58.67,0.020529639,0
ammomanes,Ammomanes_cinctura,Ammomanes,cinctura,4478.9,0,3,alaudidae,18.75,,,,94.5,88.7,0.027508189,0
ammomanes,Ammomanes_deserti,Ammomanes,deserti,3531.45,0,2,alaudidae,23.8,,,,103.16,97.98,0.022373898,0
ammomanes,Ammomanes_grayi,Ammomanes,grayi,5081.85,0,2,alaudidae,21.45,22.7,20.2,0.050674488,81,77,0.021994294,0
ammomanes,Ammomanes_phoenicura,Ammomanes,phoenicura,2928.5,26.33333333,3,alaudidae,25.6,,,,105,101,0.016867925,0
ampelioides,Ampelioides_tschudii,Ampelioides,tschudii,2411.7,100,5,cotingidae,78.4,,,,102.6,99.8,0.012016819,2
ampelion,Ampelion_rubrocristatus,Ampelion,rubrocristatus,2584,93.88888889,5,cotingidae,66.3,,,,112.9,109.2,0.014471304,1
ampelion,Ampelion_rufaxilla,Ampelion,rufaxilla,2756.2,80,3,cotingidae,73.9,,,,116,114,0.007553138,2
amphilais,Amphilais_seebohmi,Amphilais,seebohmi,3962.1,77.85714286,5,sylviidae,12.3,,,,,,,0
amphispiza,Amphispiza_belli,Amphispiza,belli,4478.9,0,5,emberizidae,15,,,,79.25,75.69,0.019960766,1
