species_code,UrbanIndex1,UrbanIndex2,UrbanIndex3,UrbanIndex4,UrbanIndex5,UrbanIndex6,PC1_scores,mean_br_occur,scientific_name,order,family,genus,common_name,test_spp,br_rng_extent,breeding_start_dt,breeding_end_dt,year_round_start_dt,year_round_end_dt,run_name
fiespa,-0.614507037,-0.53511967,6.735893824,0.158862767,0.09834764,0.892948017,0.343396123,NA,Spizella pusilla,Passeriformes,Passerellidae,Spizella,Field Sparrow,no,99,5/24/2018,9/7/2018,NA,NA,fiespa-ERD2018-EBIRD_SCIENCE-20191028-cdd10f5f
brespa,-1.872989129,-2,4.562692941,0.006101115,0.001121503,0.207642128,-1.668919396,NA,Spizella breweri,Passeriformes,Passerellidae,Spizella,Brewer's Sparrow,no,100,6/7/2018,7/13/2018,NA,NA,brespa-ERD2018-EBIRD_SCIENCE-20191026-2e06024f
foxspa,-1.814284912,-2,4.406039525,0.002815885,0.001640404,0.209047492,-1.624543656,NA,Passerella iliaca,Passeriformes,Passerellidae,Passerella,Fox Sparrow,no,99,5/31/2018,8/3/2018,NA,NA,foxspa-ERD2018-EBIRD_SCIENCE-20191104-69d1a7b2
daejun,-1.286279844,-0.910436378,6.157224055,0.012574833,0.006096185,0.333881187,-1.043726422,0.939030612,Junco hyemalis,Passeriformes,Passerellidae,Junco,Dark-eyed Junco,no,99,5/24/2018,8/31/2018,NA,NA,daejun-ERD2018-EBIRD_SCIENCE-20191102-fb07661f
whcspa,-0.879610933,-0.405551749,5.546202974,0.007127967,0.00691306,0.488749926,-0.501286641,1.537502089,Zonotrichia leucophrys,Passeriformes,Passerellidae,Zonotrichia,White-crowned Sparrow,no,99,6/14/2018,8/17/2018,NA,NA,whcspa-ERD2018-EBIRD_SCIENCE-20191103-303b36ce
whtspa,-1.707135881,-1.649764665,4.620876246,0.022560426,0.003726708,0.462119167,-1.137874404,0.911555331,Zonotrichia albicollis,Passeriformes,Passerellidae,Zonotrichia,White-throated Sparrow,no,100,6/14/2018,8/24/2018,NA,NA,whtspa-ERD2018-EBIRD_SCIENCE-20191030-d66240da
sagspa1,-1.922531977,-2,4.239911352,0.003376382,0.001033769,0.122816772,-1.841816289,NA,Artemisiospiza nevadensis,Passeriformes,Passerellidae,Artemisiospiza,Sagebrush Sparrow,no,100,4/19/2018,9/7/2018,NA,NA,sagspa1-ERD2018-EBIRD_SCIENCE-20191112-f0fa3989
belspa2,-1.744166457,-2,6.769580394,0.027589859,0.030845064,0.188284154,-1.607882405,NA,Artemisiospiza belli,Passeriformes,Passerellidae,Artemisiospiza,Bell's Sparrow,no,95,4/12/2018,8/31/2018,NA,NA,belspa2-ERD2018-EBIRD_SCIENCE-20191112-ae148602
vesspa,-1.809089836,-2,5.305353897,0.040427338,0.002619474,0.484019408,-1.175525451,NA,Pooecetes gramineus,Passeriformes,Passerellidae,Pooecetes,Vesper Sparrow,no,100,5/31/2018,7/27/2018,NA,NA,vesspa-ERD2018-EBIRD_SCIENCE-20191105-ffe49d00
lecspa,-1.258998145,-0.946170808,5.136053609,0.020233931,0.026724484,0.66715893,-0.484447642,NA,Ammospiza leconteii,Passeriformes,Passerellidae,Ammospiza,LeConte's Sparrow,no,100,6/14/2018,8/24/2018,NA,NA,lecspa-ERD2018-EBIRD_SCIENCE-20191108-632dc77c
seaspa,-1.529440149,-2,6.32783947,0.139623412,0.145503761,0.238698104,-1.372249983,0.64047619,Ammospiza maritima,Passeriformes,Passerellidae,Ammospiza,Seaside Sparrow,no,89,5/17/2018,8/17/2018,NA,NA,seaspa-ERD2018-EBIRD_SCIENCE-20191112-dbc970ca
nstspa,-1.855426616,-2,3.612281259,0.024154906,0.007325673,0.397246401,-1.349277151,NA,Ammospiza nelsoni,Passeriformes,Passerellidae,Ammospiza,Nelson's Sparrow,no,99,6/14/2018,8/24/2018,NA,NA,nstspa-ERD2018-EBIRD_SCIENCE-20191108-16e46a88
sstspa,-0.765669638,-2,7.233082108,0.650919109,0.650919109,0.627609202,-0.194703114,0.571428571,Ammospiza caudacuta,Passeriformes,Passerellidae,Ammospiza,Saltmarsh Sparrow,no,86,5/31/2018,9/7/2018,NA,NA,sstspa-ERD2018-EBIRD_SCIENCE-20191108-af56ae82
baispa,-2,-2,0,0.001641684,0,0.050519121,-2.01445229,NA,Centronyx bairdii,Passeriformes,Passerellidae,Centronyx,Baird's Sparrow,nonurban,100,5/31/2018,7/13/2018,NA,NA,baispa-ERD2018-EBIRD_SCIENCE-20191113-02c2e4de
henspa,-1.121537378,-1.203089415,6.88065911,0.114615662,0.103700845,0.541515535,-0.589335598,NA,Centronyx henslowii,Passeriformes,Passerellidae,Centronyx,Henslow's Sparrow,no,100,5/17/2018,8/10/2018,NA,NA,henspa-ERD2018-EBIRD_SCIENCE-20191108-52701429
savspa,-1.078276286,-0.854788713,6.102477126,0.043230176,0.024454645,0.792224688,-0.152309638,NA,Passerculus sandwichensis,Passeriformes,Passerellidae,Passerculus,Savannah Sparrow,no,98,6/7/2018,8/10/2018,NA,NA,savspa-ERD2018-EBIRD_SCIENCE-20191103-0bcb4d0b
sonspa,0.893135806,0.596680121,6.346708821,0.094950641,0.361422339,1.120536423,1.793165185,2.392622232,Melospiza melodia,Passeriformes,Passerellidae,Melospiza,Song Sparrow,no,97,5/31/2018,7/13/2018,NA,NA,sonspa-ERD2018-EBIRD_SCIENCE-20191101-392ce524
linspa,-1.725047559,-1.909438885,4.57329285,0.009443362,0.012992096,0.392944559,-1.26274193,0.276390276,Melospiza lincolnii,Passeriformes,Passerellidae,Melospiza,Lincoln's Sparrow,no,99,6/14/2018,8/10/2018,NA,NA,linspa-ERD2018-EBIRD_SCIENCE-20191104-7d849cf2
swaspa,-0.044500502,0.111181099,6.610443181,0.066958833,0.090656725,0.886472816,0.741691746,0.628447611,Melospiza georgiana,Passeriformes,Passerellidae,Melospiza,Swamp Sparrow,no,100,6/7/2018,8/31/2018,NA,NA,swaspa-ERD2018-EBIRD_SCIENCE-20191103-dcce2c0a
cantow,-1.335895292,-1.556153439,4.8433078,0.021187946,0.005377018,0.311804259,-1.115059886,NA,Melozone fusca,Passeriformes,Passerellidae,Melozone,Canyon Towhee,no,47,NA,NA,1/4/2018,12/28/2018,cantow-ERD2018-EBIRD_SCIENCE-20191109-76e81155
abetow,1.182367249,0.898205075,7.565979205,0.265738611,0.67908433,1.736396538,2.997918889,NA,Melozone aberti,Passeriformes,Passerellidae,Melozone,Abert's Towhee,no,71,NA,NA,1/4/2018,12/28/2018,abetow-ERD2018-EBIRD_SCIENCE-20191109-a5cf4cb2
caltow,1.025334112,0.748365564,8.221315033,0.275218825,0.66307369,1.404735095,2.348205989,NA,Melozone crissalis,Passeriformes,Passerellidae,Melozone,California Towhee,no,76,NA,NA,1/4/2018,12/28/2018,caltow-ERD2018-EBIRD_SCIENCE-20191104-0d21d595
rucspa,-0.539608177,-0.378262439,7.638065378,0.033740697,0.035598368,0.338335186,-0.501036084,NA,Aimophila ruficeps,Passeriformes,Passerellidae,Aimophila,Rufous-crowned Sparrow,no,53,NA,NA,1/4/2018,12/28/2018,rucspa-ERD2018-EBIRD_SCIENCE-20191109-2c3e7c1c
gnttow,-1.232065072,-1.675297551,4.269365223,0.004767856,0.001529511,0.19807131,-1.224778168,NA,Pipilo chlorurus,Passeriformes,Passerellidae,Pipilo,Green-tailed Towhee,no,98,6/7/2018,8/10/2018,NA,NA,gnttow-ERD2018-EBIRD_SCIENCE-20191028-f5776924
spotow,0.773087429,0.691594428,6.756367176,0.042862848,0.134473017,0.853585425,1.274768805,NA,Pipilo maculatus,Passeriformes,Passerellidae,Pipilo,Spotted Towhee,no,78,5/31/2018,8/17/2018,NA,NA,spotow-ERD2018-EBIRD_SCIENCE-20191103-bff982f4
eastow,-0.241504815,-0.200144285,6.364763144,0.207750862,0.145167178,0.9448349,0.694921803,NA,Pipilo erythrophthalmus,Passeriformes,Passerellidae,Pipilo,Eastern Towhee,no,99,6/7/2018,9/14/2018,NA,NA,eastow-ERD2018-EBIRD_SCIENCE-20191028-2661d877
yebcha,-1.041474368,-0.85161895,6.297115954,0.11009945,0.02405817,0.738574788,-0.212798287,NA,Icteria virens,Passeriformes,Icteriidae,Icteria,Yellow-breasted Chat,no,85,5/31/2018,7/27/2018,NA,NA,yebcha-ERD2018-EBIRD_SCIENCE-20191030-d087d0ab
yehbla,-1.606622567,-2,5.227776405,0.040094252,0.02210799,0.588884445,-0.860505941,NA,Xanthocephalus xanthocephalus,Passeriformes,Icteridae,Xanthocephalus,Yellow-headed Blackbird,no,98,5/31/2018,6/28/2018,NA,NA,yehbla-ERD2018-EBIRD_SCIENCE-20191105-31562ab8
